tract_geoid,total_jobs,jobs_retail,jobs_healthcare,jobs_education,jobs_construction
24031700835,737,8,30,210,26
24031700836,408,0,217,5,4
24031700837,444,107,31,111,12
24031700838,13928,109,5152,469,141
24031700839,4531,740,791,65,60
24031700901,28251,288,2809,7919,82
24031700902,837,20,64,2,261
24031700903,3803,95,413,320,865
24031700904,7531,1879,1769,69,19
24031700905,951,30,13,340,0
24031701001,3259,152,813,67,232
24031701002,3595,258,919,78,133
24031701004,1492,76,311,201,35
24031701005,2397,25,110,1965,16
24031701006,1414,10,110,412,14
24031701007,11310,132,4903,7,316
24031701101,595,90,4,145,27
24031701102,504,30,22,76,151
24031701201,1293,164,188,66,93
24031701202,1403,485,123,101,229
24031701205,18128,274,7203,1259,169
24031701206,2469,164,944,787,87
24031701210,183,0,61,41,0
24031701211,13588,1287,2850,19,1263
24031701212,511,40,95,71,78
24031701214,412,3,11,184,0
24031701215,555,75,37,0,8
24031701216,8058,1033,858,43,206
24031701218,4432,1338,123,1,33
24031701219,6251,366,863,42,1036
24031701220,288,5,99,0,6
24031701221,2406,114,1451,29,21
24031701222,4042,342,1646,161,17
24031701223,325,0,40,247,1
24031701303,342,1,16,190,27
24031701304,608,42,71,140,11
24031701306,214,1,41,0,19
24031701307,752,74,27,386,68
24031701308,1119,29,115,375,189
24031701312,1247,53,147,177,72
24031701313,446,57,80,68,17
24031701314,875,299,10,15,6
24031701315,2953,498,55,99,33
24031701316,2358,53,318,418,214
24031701317,611,6,132,0,20
24031701407,459,3,39,270,66
24031701408,2056,494,44,291,316
24031701409,1062,95,65,417,62
24031701414,2412,52,31,16,38
24031701415,826,135,130,156,45
24031701417,1077,805,19,116,5
24031701418,53,0,2,0,2
24031701422,515,226,16,0,2
24031701423,81,33,4,0,8
24031701424,590,5,0,136,13
24031701425,7832,1087,383,43,345
24031701426,1346,36,350,4,130
24031701427,145,3,16,0,107
24031701503,922,19,19,296,44
24031701505,1332,191,44,206,35
24031701506,1208,33,199,292,116
24031701507,780,182,41,46,120
24031701508,78,0,2,1,1
24031701509,2766,672,937,10,31
24031701601,32,0,3,0,3
24031701602,361,2,6,265,9
24031701701,958,129,124,20,14
24031701702,1951,0,2,221,11
24031701703,989,206,55,30,42
24031701704,354,84,27,0,90
24031701800,1195,5,11,809,15
24031701900,121,27,9,0,1
24031702000,505,148,7,187,13
24031702101,529,65,3,203,92
24031702102,532,152,27,69,28
24031702200,329,11,32,54,13
24031702301,423,213,7,41,2
24031702302,267,17,38,40,31
24031702401,166,18,8,3,62
24031702402,617,80,95,88,48
24031702501,8546,86,4906,221,17
24031702502,1943,145,115,33,235
24031702503,6582,783,1241,136,46
24031702602,342,32,25,0,12
24031702603,301,207,13,2,0
24031702604,1042,9,145,40,10
24031702700,2893,62,607,249,748
24031702800,3048,230,364,223,313
24031702900,1308,58,66,229,25
24031703000,404,0,2,335,8
24031703100,971,73,83,1,17
24031703201,1608,593,47,533,63
24031703202,809,202,16,238,46
24031703206,352,3,14,209,30
24031703207,832,116,122,260,24
24031703208,528,1,114,120,35
24031703209,1095,125,74,217,40
24031703210,362,1,8,286,17
24031703213,243,67,7,0,14
24031703214,416,85,11,76,8
24031703215,218,0,11,103,17
24031703216,54,0,0,2,0
24031703218,715,134,0,0,10
24031703219,46,0,0,0,0
24031703220,886,124,21,17,6
24031703221,183,0,31,0,69
24031703222,483,85,15,216,13
24031703223,387,6,30,47,64
24031703301,337,6,28,136,53
24031703302,879,172,12,104,18
24031703401,841,214,33,139,46
24031703402,307,2,1,225,25
24031703403,372,1,0,305,44
24031703404,100,0,8,0,17
24031703501,330,94,11,84,31
24031703502,617,12,31,131,290
24031703601,866,64,24,304,38
24031703602,198,2,3,0,12
